order_id,order_date,ship_date,delivery_date,region,warehouse,product_category,unit_price,quantity,order_status,delay_reason,carrier
ORD-ef431f0e,2024-01-29,2024-01-30,2024-02-07,North,WH-C,Apparel,37.23,1,Delivered,,Carrier B
ORD-84a55547,2024-07-27,2024-07-28,2024-08-01,North,WH-A,Accessories,2.54,2,Delivered,,Carrier D
ORD-23bf0753,2024-10-14,2024-10-16,2024-10-18,North,WH-B,Apparel,109.47,1,Delivered,,Carrier A
ORD-ee11e9ee,2024-12-08,2024-12-10,2024-12-17,Central,WH-D,Apparel,68.75,1,Delivered,,Carrier D
ORD-18d1fd7a,2024-12-18,2024-12-19,2024-12-28,North,WH-B,Office,46.49,1,Delivered,,Carrier C
ORD-5aecf78d,2024-12-28,2024-12-31,2025-01-09,South,WH-C,Electronics,104.43,3,Delivered,Carrier Delay,Carrier D
ORD-ab0abfc6,2024-01-02,2024-01-03,2024-01-10,East,WH-C,Electronics,94.98,3,Delivered,,Carrier D
ORD-3bf537d3,2024-05-02,2024-05-04,2024-05-10,West,WH-A,Accessories,81.41,1,Delivered,,Carrier C
ORD-b73d0802,2024-06-26,2024-06-26,,Central,WH-C,Accessories,36.19,4,Backorder,,Carrier B
ORD-c5258b90,2024-09-08,2024-09-11,2024-09-18,North,WH-B,Home,71.29,4,Delivered,,Carrier A
ORD-8a3a931e,2024-09-09,2024-09-11,,North,WH-D,Home,51.64,2,Backorder,,Carrier D
ORD-1fbcd5d9,2024-04-07,2024-04-09,2024-04-14,East,WH-B,Home,59.58,2,Delivered,,Carrier C
ORD-fb18a592,2024-07-23,2024-07-24,2024-08-02,East,WH-A,Accessories,94.69,1,Delivered,,Carrier B
ORD-3813b47c,2024-08-07,2024-08-07,2024-08-10,South,WH-B,Office,143.52,1,Delivered,,Carrier D
ORD-aa0b68cd,2024-08-19,2024-08-21,2024-08-28,Central,WH-B,Home,132.38,1,Delivered,,Carrier A
ORD-f5e178b1,2024-08-31,2024-08-31,2024-09-08,North,WH-C,Office,57.27,2,Delivered,,Carrier C
ORD-725b54ca,2024-09-22,2024-09-23,2024-10-01,Central,WH-C,Apparel,110.62,1,Delivered,,Carrier D
ORD-0b3bd264,2024-11-05,2024-11-05,2024-11-09,West,WH-B,Home,72.33,1,Delivered,,Carrier B
ORD-0749273f,2024-12-09,2024-12-12,2024-12-20,Central,WH-C,Accessories,62.94,3,Delivered,Fulfillment Issue,Carrier D
ORD-07636ad2,2024-12-30,2025-01-01,2025-01-07,South,WH-D,Electronics,83.59,1,Delivered,,Carrier A
ORD-c2768e08,2024-02-26,2024-03-01,2024-03-08,South,WH-B,Office,43.1,2,Cancelled,,Carrier A
ORD-4e4845ff,2024-03-06,2024-03-08,2024-03-13,Central,WH-D,Accessories,126.95,1,Delivered,,Carrier C
ORD-3425ebfe,2024-03-26,2024-03-26,2024-03-30,North,WH-A,Accessories,87.78,3,Shipped,,Carrier C
ORD-3a30ca4d,2024-04-23,2024-04-24,2024-04-30,East,WH-A,Home,65.87,1,Delivered,,Carrier D
ORD-10d86c4f,2024-05-29,2024-06-02,2024-06-10,North,WH-C,Accessories,60.07,1,Delivered,Inventory Shortage,Carrier A
ORD-cc8e97ec,2024-08-30,2024-08-31,2024-09-01,East,WH-B,Apparel,119.71,2,Cancelled,,Carrier C
ORD-e56b5f3f,2024-09-12,2024-09-14,2024-09-23,Central,WH-A,Accessories,143.3,2,Delivered,Weather,Carrier D
ORD-25b78c16,2024-10-25,2024-10-28,2024-10-30,East,WH-C,Apparel,100.54,2,Delivered,,Carrier A
ORD-c69fc79a,2024-12-18,2024-12-19,2024-12-23,Central,WH-A,Electronics,59.63,1,Delivered,,Carrier D
ORD-482239bf,2024-12-21,2024-12-23,,Central,WH-B,Apparel,111.1,3,Backorder,,Carrier D
ORD-b18daf72,2024-02-16,2024-02-19,2024-02-28,South,WH-C,Accessories,31.52,1,Shipped,,Carrier D
ORD-a1791460,2024-02-27,2024-02-28,2024-03-01,Central,WH-B,Home,113.37,4,Shipped,,Carrier D
ORD-06fddd76,2024-03-02,2024-03-03,2024-03-06,East,WH-D,Accessories,76.09,1,Shipped,,Carrier D
ORD-9f66945e,2024-08-28,2024-08-28,2024-09-05,South,WH-A,Home,136.47,4,Delivered,,Carrier A
ORD-570e8835,2024-03-18,2024-03-20,2024-03-23,South,WH-B,Electronics,113.74,3,Delivered,,Carrier A
ORD-56da289d,2024-06-25,2024-06-27,2024-07-04,North,WH-B,Electronics,99.81,1,Delivered,,Carrier A
ORD-865d6f1c,2024-07-17,2024-07-18,,North,WH-B,Home,75.21,1,Backorder,,Carrier D
ORD-4e043275,2024-07-23,2024-07-23,2024-07-31,South,WH-D,Apparel,71.26,4,Delivered,,Carrier D
ORD-a8e18bd8,2024-09-30,2024-10-01,,South,WH-A,Electronics,118.01,1,Backorder,,Carrier D
ORD-932f728f,2024-11-04,2024-11-08,2024-11-11,West,WH-D,Electronics,148.42,4,Delivered,,Carrier A
ORD-a2aab9cb,2024-11-12,2024-11-14,2024-11-18,East,WH-A,Apparel,148.87,1,Delivered,,Carrier B
ORD-a8f66ca6,2024-12-23,2024-12-28,2025-01-05,West,WH-B,Office,76.63,2,Delivered,Inventory Shortage,Carrier C
ORD-7db704b3,2024-12-25,2024-12-26,2024-12-29,North,WH-D,Accessories,164.21,1,Delivered,,Carrier A
ORD-ba900460,2024-05-18,2024-05-21,2024-05-25,Central,WH-A,Electronics,35.48,3,Delivered,,Carrier B
ORD-7c2d96d0,2024-06-05,2024-06-07,2024-06-14,West,WH-D,Apparel,55.06,4,Delivered,,Carrier D
ORD-60d6f7e5,2024-08-09,2024-08-10,2024-08-16,South,WH-D,Electronics,18.05,1,Shipped,,Carrier D
ORD-6fafce93,2024-09-01,2024-09-03,2024-09-04,West,WH-C,Office,20.7,2,Delivered,,Carrier D
ORD-882ac33d,2024-10-15,2024-10-15,2024-10-21,East,WH-B,Electronics,22.0,1,Delivered,,Carrier A
ORD-95bba8f6,2024-12-01,2024-12-01,2024-12-05,North,WH-A,Accessories,123.38,1,Delivered,,Carrier D
ORD-0e68a401,2024-12-13,2024-12-13,2024-12-19,Central,WH-B,Electronics,56.9,1,Delivered,,Carrier A
ORD-4124818f,2024-07-11,2024-07-13,,North,WH-A,Apparel,123.04,3,Backorder,,Carrier D
ORD-4a5f7d65,2024-10-08,2024-10-09,2024-10-10,Central,WH-B,Accessories,80.85,1,Delivered,,Carrier A
ORD-268c1bac,2024-03-26,2024-03-29,2024-03-30,West,WH-C,Home,85.79,1,Delivered,,Carrier B
ORD-86291477,2024-08-08,2024-08-09,2024-08-10,East,WH-B,Home,55.41,1,Delivered,,Carrier D
ORD-fb10304d,2024-10-02,2024-10-02,2024-10-10,East,WH-D,Home,100.48,3,Delivered,,Carrier A
ORD-80296f0c,2024-03-04,2024-03-06,2024-03-08,Central,WH-A,Electronics,73.27,1,Delivered,,Carrier B
ORD-b338b317,2024-03-09,2024-03-12,2024-03-14,South,WH-C,Electronics,102.35,2,Delivered,,Carrier B
ORD-fc6325e8,2024-03-22,2024-03-23,2024-03-28,South,WH-D,Accessories,116.7,1,Delivered,,Carrier C
ORD-5170657e,2024-03-25,2024-03-25,2024-04-03,Central,WH-A,Accessories,118.78,4,Delivered,,Carrier C
ORD-0cb82365,2024-04-18,2024-04-20,2024-04-29,North,WH-B,Home,97.09,1,Shipped,,Carrier A
ORD-9b2bcc7a,2024-05-17,2024-05-18,2024-05-21,Central,WH-B,Home,139.84,1,Cancelled,,Carrier C
ORD-f1125363,2024-06-05,2024-06-06,2024-06-15,East,WH-B,Home,98.29,2,Delivered,,Carrier D
ORD-897bad21,2024-09-19,2024-09-21,2024-09-26,North,WH-A,Office,73.82,1,Delivered,,Carrier C
ORD-a0c8e848,2024-10-15,2024-10-17,2024-10-18,East,WH-B,Home,97.22,3,Delivered,,Carrier B
ORD-77a95fb9,2024-11-04,2024-11-07,2024-11-11,Central,WH-D,Accessories,81.12,3,Delivered,,Carrier A
ORD-b32d8cce,2024-12-21,2024-12-22,2024-12-28,South,WH-A,Home,96.73,1,Delivered,,Carrier B
ORD-6dc86cb7,2024-12-30,2024-12-30,2025-01-01,North,WH-C,Home,78.38,1,Delivered,,Carrier A
ORD-a82e1e90,2024-04-06,2024-04-07,2024-04-12,South,WH-B,Electronics,32.85,4,Shipped,,Carrier C
ORD-151877e7,2024-04-11,2024-04-14,,West,WH-B,Apparel,79.27,3,Backorder,,Carrier B
ORD-caec16e8,2024-12-27,2024-12-30,2025-01-01,South,WH-D,Electronics,95.89,1,Shipped,,Carrier B
ORD-927b2168,2024-03-26,2024-03-26,2024-03-31,East,WH-D,Apparel,0.83,2,Delivered,,Carrier C
ORD-79e2392e,2024-04-08,2024-04-10,2024-04-12,North,WH-D,Electronics,109.92,1,Delivered,,Carrier D
ORD-09842661,2024-04-09,2024-04-11,2024-04-17,West,WH-C,Home,30.82,3,Delivered,,Carrier B
ORD-460f73d2,2024-07-19,2024-07-19,2024-07-24,South,WH-D,Home,99.87,2,Delivered,,Carrier C
ORD-7c8208c6,2024-10-01,2024-10-02,2024-10-07,East,WH-C,Accessories,56.22,4,Cancelled,,Carrier D
ORD-b8b4e0d0,2024-12-18,2024-12-18,2024-12-25,Central,WH-C,Electronics,3.92,1,Delivered,,Carrier A
ORD-d00ff4ea,2024-03-16,2024-03-18,2024-03-24,East,WH-B,Accessories,95.08,2,Cancelled,,Carrier C
ORD-e369b65f,2024-03-21,2024-03-23,2024-03-27,Central,WH-D,Home,78.83,1,Delivered,,Carrier C
ORD-1a1301e0,2024-04-17,2024-04-19,2024-04-28,Central,WH-A,Office,101.46,1,Delivered,Inventory Shortage,Carrier C
ORD-5429d758,2024-04-24,2024-04-27,2024-04-30,West,WH-A,Accessories,92.28,1,Delivered,,Carrier B
ORD-f3b8d99d,2024-08-21,2024-08-21,2024-08-22,North,WH-C,Accessories,39.07,4,Delivered,,Carrier C
ORD-10d0d07e,2024-10-19,2024-10-20,,North,WH-C,Accessories,48.22,4,Delivered,,Carrier C
ORD-104a4a6d,2024-11-12,2024-11-15,2024-11-20,East,WH-D,Home,54.93,4,Delivered,,Carrier B
ORD-d647fc23,2024-11-16,2024-11-17,2024-11-20,West,WH-B,Accessories,114.5,1,Delivered,,Carrier C
ORD-4dde4c09,2024-12-08,2024-12-10,2024-12-11,North,WH-C,Home,55.45,3,Delivered,,Carrier B
ORD-1e056453,2024-01-02,2024-01-07,2024-01-15,Central,WH-C,Office,87.57,1,Delivered,Fulfillment Issue,Carrier D
ORD-6e81ac93,2024-03-20,2024-03-20,2024-03-24,Central,WH-D,Apparel,72.36,1,Delivered,,Carrier A
ORD-22ac7c02,2024-05-20,2024-05-23,2024-05-26,Central,WH-C,Electronics,58.06,1,Delivered,,Carrier B
ORD-222e0110,2024-09-28,2024-09-28,2024-10-05,South,WH-B,Apparel,74.54,1,Delivered,,Carrier A
ORD-f41b0742,2024-11-06,2024-11-06,2024-11-14,West,WH-A,Office,15.29,2,Delivered,,Carrier D
ORD-4d2045be,2024-11-13,2024-11-15,2024-11-23,Central,WH-B,Office,68.86,3,Cancelled,,Carrier D
ORD-15b4ee3f,2024-01-28,2024-01-30,2024-02-04,South,WH-A,Electronics,105.33,1,Delivered,,Carrier D
ORD-fef2bbb5,2024-04-23,2024-04-24,2024-04-25,Central,WH-D,Electronics,74.53,2,Delivered,,Carrier B
ORD-3bb83e01,2024-06-11,2024-06-12,2024-06-14,North,WH-D,Apparel,123.59,2,Shipped,,Carrier D
ORD-4f5e1960,2024-09-08,2024-09-09,2024-09-15,Central,WH-C,Office,52.18,4,Delivered,,Carrier D
ORD-6574ca81,2024-10-19,2024-10-22,,Central,WH-D,Apparel,142.28,1,Backorder,,Carrier D
ORD-9a344c06,2024-12-02,2024-12-03,2024-12-09,South,WH-C,Accessories,45.66,1,Delivered,,Carrier D
ORD-8c76aac5,2024-01-06,2024-01-07,2024-01-16,East,WH-D,Electronics,125.02,2,Delivered,,Carrier C
ORD-569cd7d8,2024-01-07,2024-01-10,2024-01-16,East,WH-C,Accessories,77.38,1,Delivered,,Carrier A
ORD-331997b9,2024-01-14,2024-01-17,2024-01-22,South,WH-D,Apparel,159.27,3,Delivered,,Carrier B
ORD-1e1cadb2,2024-01-16,2024-01-16,2024-01-24,West,WH-C,Accessories,83.55,4,Delivered,,Carrier D
ORD-0b60e404,2024-03-17,2024-03-18,2024-03-21,South,WH-D,Office,87.89,1,Delivered,,Carrier A
ORD-3d90fd45,2024-04-08,2024-04-08,,Central,WH-D,Office,33.3,1,Backorder,,Carrier A
ORD-0adbc18f,2024-05-21,2024-05-23,2024-05-30,East,WH-D,Office,80.68,1,Shipped,,Carrier B
ORD-1940d618,2024-10-11,2024-10-13,2024-10-22,East,WH-D,Office,121.56,1,Delivered,Carrier Delay,Carrier D
ORD-665c48fc,2024-10-28,2024-10-30,2024-11-08,West,WH-B,Office,76.97,2,Delivered,Inventory Shortage,Carrier A
ORD-f41f6b92,2024-11-29,2024-12-01,2024-12-06,Central,WH-A,Electronics,178.69,3,Shipped,,Carrier D
ORD-b8edeefd,2024-02-22,2024-02-23,2024-03-03,West,WH-B,Electronics,40.31,4,Delivered,,Carrier C
ORD-9906612e,2024-03-09,2024-03-10,2024-03-15,South,WH-D,Home,91.67,1,Delivered,,Carrier C
ORD-2ca04afa,2024-03-14,2024-03-14,2024-03-18,West,WH-C,Office,72.67,1,Delivered,,Carrier C
ORD-dd6d755a,2024-04-03,2024-04-04,,West,WH-A,Accessories,116.56,1,Backorder,,Carrier A
ORD-44ccd154,2024-04-14,2024-04-17,2024-04-18,East,WH-B,Electronics,42.06,1,Shipped,,Carrier A
ORD-df70f868,2024-09-20,2024-09-22,2024-10-01,South,WH-B,Electronics,119.23,1,Delivered,Inventory Shortage,Carrier B
ORD-e7e03756,2024-12-28,2024-12-29,2025-01-03,North,WH-B,Office,50.31,2,Delivered,,Carrier C
ORD-caa9073d,2024-02-27,2024-02-28,2024-03-07,South,WH-A,Apparel,71.07,4,Delivered,,Carrier C
ORD-9674dca6,2024-06-29,2024-06-29,2024-07-07,North,WH-C,Accessories,139.59,1,Delivered,,Carrier D
ORD-509caa55,2024-10-05,2024-10-08,2024-10-12,South,WH-A,Accessories,80.84,2,Delivered,,Carrier B
ORD-59f06288,2024-10-17,2024-10-18,2024-10-25,East,WH-A,Accessories,89.23,1,Delivered,,Carrier A
ORD-4060c2b9,2024-02-29,2024-03-02,2024-03-07,West,WH-C,Electronics,124.91,2,Delivered,,Carrier C
